id,Rank,Type,Name,Expert Number,Expert Number Description,Gender,Extra Language Skills,R-test Score,PT Score,Year of Service,Deployment Service Year,Military Course,KPI from Supervisor,KPI from Peers,KPI from Subordinate,Active Duty Day in One Year,Number of Mission Assigned,Number of Mission Succeed,Rate of Success,Timelines,UN English Test Score,UN Knowledge Test Score,Timeliness_normalize,Deployment_experience_score,Language_skill_score,Rate_of_success_100_scale,UNMEM_Mission_success_score,UNSO_Mission_success_score
U0001,ร้อยตรี,สัญญาบัตร,พงศ์ภัทร์ เจริญสุข,7,การด้านการเงิน,Male,,67,90,5,1,การรบแบบจู่โจม,77,59,73,307,17,11,64.71%,ทันเวลา,64.0,74.0,100,100,1,64.0,71.97,68.69
U0002,จ่าสิบโท,ประทวน,วรินทร มั่นคง,1,งานกำลังพล,Female,,61,64,11,2,,97,55,90,344,14,7,50.00%,ทันเวลา,91.0,55.0,100,100,1,50.0,71.07,70.44
U0003,พันตรี,สัญญาบัตร,ธนวัฒน์ พัฒนาสุข,3,งานยุทธการ,Male,,93,66,13,2,"เสนาธิการทหาร, สงครามพิเศษ",99,75,98,349,15,13,86.67%,ทันเวลา,94.0,79.0,100,100,1,86.0,84.07,83.49
U0004,สิบโท,ประทวน,นันทวัน สุขสำราญ,5,งานกิจการพลเรือน,Female,,65,71,1,3,,62,56,80,359,0,0,0.00%,ทันเวลา,10.0,21.0,100,100,1,0.0,38.17,33.14
U0005,ร้อยเอก,สัญญาบัตร,สิริพร งามสง่า,4,งานส่งกำลังบำรุง,Female,,92,86,10,3,ล่ามทางทหาร,91,57,93,310,13,7,53.85%,ทันเวลา,81.0,77.0,100,100,1,53.0,76.82,74.59
U0006,สิบโท,ประทวน,พฤกษ์ ดีพร้อม,6,งานการสื่อสาร,Male,,54,49,8,1,,67,71,59,322,17,11,64.71%,ทันเวลา,43.0,30.0,100,100,1,64.0,52.17,49.89
U0007,พันเอก,สัญญาบัตร,ณิชา ศรีสุข,2,งานการข่าว,Female,Japanese,83,78,15,1,"เสนาธิการทหาร, การรบแบบจู่โจม",90,69,63,300,18,15,83.33%,ทันเวลา,60.0,65.0,100,100,100,83.0,73.4,72.5
U0008,จ่าสิบตรี,ประทวน,ภาณุ รุ่งเรือง,9,งานด้านไซเบอร์,Male,,59,48,7,0,,64,68,54,364,1,1,100.00%,ทันเวลา,50.0,47.0,100,1,1,10.0,48.5,48.6
U0009,ร้อยตรี,สัญญาบัตร,ชนัญชิดา เจริญสุข,8,งานการแพทย์,Female,,71,85,2,3,EOD,76,64,83,311,10,7,70.00%,ทันเวลา,58.0,62.0,100,100,1,70.0,68.77,65.44
U0010,สิบเอก,ประทวน,ปัณณวิชญ์ มั่นคง,7,การด้านการเงิน,Male,,53,24,10,2,,74,62,69,328,14,7,50.00%,ไม่ทันเวลา,48.0,51.0,1,100,1,50.0,49.87,49.09
U0011,พันโท,สัญญาบัตร,พิมพ์ชนก พัฒนาสุข,1,งานกำลังพล,Female,,96,75,12,2,"เสนาธิการทหาร, ล่ามทางทหาร",98,90,81,315,19,16,84.21%,ทันเวลา,93.0,88.0,100,100,1,84.0,87.37,86.29
